call_id,call_type,response_zone,priority,response_time_min,time_of_day,day_of_week,resolved
E001,medical,zone_north,high,6,morning,monday,yes
E002,fire,zone_north,critical,4,afternoon,monday,yes
E003,medical,zone_north,medium,12,evening,monday,yes
E004,accident,zone_north,high,7,morning,tuesday,yes
E005,medical,zone_south,medium,15,afternoon,tuesday,yes
E006,fire,zone_south,critical,5,night,tuesday,yes
E007,medical,zone_south,low,22,morning,wednesday,yes
E008,accident,zone_south,high,8,afternoon,wednesday,yes
E009,medical,zone_east,medium,14,evening,wednesday,yes
E010,fire,zone_east,critical,6,night,wednesday,yes
E011,medical,zone_east,high,9,morning,thursday,yes
E012,accident,zone_east,medium,11,afternoon,thursday,yes
E013,medical,zone_north,low,18,evening,thursday,yes
E014,fire,zone_north,high,5,night,thursday,yes
E015,medical,zone_south,medium,13,morning,friday,yes
E016,accident,zone_south,critical,4,afternoon,friday,yes
E017,medical,zone_east,high,7,evening,friday,yes
E018,fire,zone_east,medium,10,night,friday,yes
E019,medical,zone_north,low,20,morning,saturday,yes
E020,accident,zone_north,high,6,afternoon,saturday,yes
E021,medical,zone_south,medium,16,evening,saturday,yes
E022,fire,zone_south,critical,3,night,saturday,yes
E023,medical,zone_east,high,8,morning,sunday,yes
E024,accident,zone_east,medium,12,afternoon,sunday,yes
E025,medical,zone_north,low,19,evening,sunday,yes
